number, label
0001, 70
0010, 11
0100, 06
1000, 95
1001, 06
1002, 73
1003, 40
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 62
0101, 79
1010, 25
1011, 71
1012, 85
1013, 27
1014, 71
1015, 61
1016, 11
1017, 60
1018, 71
1019, 33
0102, 04
1020, 26
1021, 27
1022, 91
1023, 18
1024, 19
1025, 64
1026, 39
1027, 60
1028, 05
1029, 33
0103, 30
1030, 96
1031, 60
1032, 41
1033, 33
1034, 96
1035, 64
1036, 88
1037, 99
1038, 90
1039, 63
0104, 06
1040, 74
1041, 36
1042, 06
1043, 35
1044, 55
1045, 73
1046, 29
1047, 07
1048, 85
1049, 66
0105, 33
1050, 97
1051, 65
1052, 91
1053, 58
1054, 35
1055, 25
1056, 89
1057, 76
1058, 62
1059, 82
0106, 39
1060, 08
1061, 41
1062, 27
1063, 82
1064, 11
1065, 90
1066, 81
1067, 99
1068, 68
1069, 55
0107, 61
1070, 79
1071, 36
1072, 04
1073, 96
1074, 71
1075, 49
1076, 27
1077, 08
1078, 90
1079, 60
0108, 69
1080, 56
1081, 65
1082, 90
1083, 27
1084, 94
1085, 05
1086, 37
1087, 27
1088, 07
1089, 72
0109, 55
1090, 85
1091, 46
1092, 50
1093, 98
1094, 41
1095, 79
1096, 18
1097, 62
1098, 49
1099, 51
0011, 67
0110, 70
1100, 54
1101, 50
1102, 74
1103, 80
1104, 08
1105, 74
1106, 04
1107, 40
1108, 49
1109, 23
0111, 13
1110, 77
1111, 94
1112, 04
1113, 61
1114, 60
1115, 16
1116, 38
1117, 77
1118, 22
1119, 94
0112, 13
1120, 93
1121, 10
1122, 69
1123, 73
1124, 26
1125, 96
1126, 27
1127, 83
1128, 77
1129, 89
0113, 39
1130, 96
1131, 91
1132, 46
1133, 29
1134, 31
1135, 59
1136, 76
1137, 81
1138, 62
1139, 55
0114, 64
1140, 87
1141, 13
1142, 97
1143, 41
1144, 09
1145, 85
1146, 15
1147, 73
1148, 10
1149, 16
0115, 60
1150, 41
1151, 56
1152, 59
1153, 27
1154, 04
1155, 74
1156, 86
1157, 40
1158, 97
1159, 38
0116, 49
1160, 45
1161, 25
1162, 97
1163, 97
1164, 27
1165, 90
1166, 41
1167, 52
1168, 50
1169, 87
0117, 18
1170, 04
1171, 03
1172, 27
1173, 55
1174, 96
1175, 21
1176, 26
1177, 79
1178, 08
1179, 06
0118, 96
1180, 53
1181, 38
1182, 24
1183, 10
1184, 70
1185, 06
1186, 94
1187, 10
1188, 05
1189, 05
0119, 28
1190, 62
1191, 96
1192, 86
1193, 28
1194, 29
1195, 25
1196, 23
1197, 96
1198, 03
1199, 14
0012, 64
0120, 72
1200, 68
1201, 36
1202, 18
