number, label
0001, 70
0010, 96
0100, 06
1000, 95
1001, 06
1002, 73
1003, 54
1004, 89
1005, 04
1006, 87
1007, 74
1008, 20
1009, 62
0101, 79
1010, 25
1011, 71
1012, 85
1013, 27
1014, 71
1015, 61
1016, 11
1017, 90
1018, 23
1019, 33
0102, 32
1020, 26
1021, 33
1022, 91
1023, 96
1024, 19
1025, 64
1026, 39
1027, 60
1028, 63
1029, 33
0103, 30
1030, 96
1031, 71
1032, 41
1033, 54
1034, 96
1035, 66
1036, 31
1037, 99
1038, 08
1039, 63
0104, 06
1040, 74
1041, 80
1042, 06
1043, 35
1044, 55
1045, 73
1046, 29
1047, 24
1048, 86
1049, 66
0105, 03
1050, 33
1051, 65
1052, 01
1053, 58
1054, 35
1055, 25
1056, 89
1057, 76
1058, 96
1059, 82
0106, 39
1060, 08
1061, 41
1062, 63
1063, 82
1064, 11
1065, 90
1066, 81
1067, 99
1068, 68
1069, 03
0107, 61
1070, 06
1071, 36
1072, 35
1073, 96
1074, 71
1075, 97
1076, 42
1077, 08
1078, 90
1079, 60
0108, 69
1080, 56
1081, 65
1082, 90
1083, 27
1084, 94
1085, 05
1086, 37
1087, 27
1088, 07
1089, 55
0109, 55
1090, 85
1091, 11
1092, 50
1093, 35
1094, 41
1095, 79
1096, 68
1097, 70
1098, 49
1099, 07
0011, 72
0110, 83
1100, 54
1101, 50
1102, 55
1103, 97
1104, 08
1105, 74
1106, 04
1107, 40
1108, 49
1109, 59
0111, 13
1110, 65
1111, 94
1112, 63
1113, 61
1114, 60
1115, 16
1116, 04
1117, 77
1118, 86
1119, 94
0112, 90
1120, 93
1121, 61
1122, 69
1123, 23
1124, 26
1125, 96
1126, 55
1127, 35
1128, 77
1129, 37
0113, 39
1130, 96
1131, 01
1132, 11
1133, 29
1134, 31
1135, 59
1136, 76
1137, 81
1138, 62
1139, 67
0114, 64
1140, 35
1141, 13
1142, 67
1143, 41
1144, 09
1145, 85
1146, 15
1147, 67
1148, 00
1149, 16
0115, 60
1150, 41
1151, 56
1152, 59
1153, 27
1154, 04
1155, 27
1156, 86
1157, 40
1158, 17
1159, 38
0116, 71
1160, 97
1161, 25
1162, 55
1163, 97
1164, 55
1165, 55
1166, 41
1167, 52
1168, 74
1169, 87
0117, 79
1170, 04
1171, 46
1172, 27
1173, 88
1174, 52
1175, 21
1176, 45
1177, 79
1178, 08
1179, 06
0118, 52
1180, 53
1181, 31
1182, 24
1183, 10
1184, 70
1185, 06
1186, 94
1187, 10
1188, 18
1189, 05
0119, 39
1190, 62
1191, 59
1192, 86
1193, 99
1194, 29
1195, 25
1196, 32
1197, 96
1198, 03
1199, 14
0012, 27
0120, 67
1200, 68
1201, 36
1202, 18
1203, 55
1204, 98
1205, 67
1206, 26
1207, 40
1208, 61
1209, 37
0121, 10
1210, 43
1211, 53
1212, 20
1213, 79
1214, 04
1215, 66
1216, 23
1217, 96
1218, 47
1219, 02
0122, 11
1220, 33
1221, 71
1222, 21
1223, 44
1224, 55
1225, 12
1226, 55
1227, 23
1228, 27
1229, 71
0123, 68
1230, 40
1231, 57
1232, 77
1233, 28
1234, 21
1235, 96
1236, 23
1237, 65
1238, 97
1239, 23
0124, 74
1240, 76
1241, 81
1242, 35
1243, 08
1244, 20
1245, 80
1246, 52
1247, 97
1248, 97
1249, 43
0125, 65
1250, 27
1251, 33
1252, 96
1253, 95
1254, 12
1255, 98
1256, 99
1257, 15
1258, 32
1259, 19
0126, 22
1260, 27
1261, 02
1262, 38
1263, 58
1264, 66
1265, 29
1266, 58
1267, 48
1268, 15
1269, 59
0127, 47
1270, 94
1271, 67
1272, 77
1273, 49
1274, 51
1275, 19
1276, 75
1277, 76
1278, 23
1279, 67
0128, 17
1280, 26
1281, 82
1282, 44
1283, 74
1284, 65
1285, 95
1286, 90
1287, 37
1288, 66
1289, 11
0129, 23
1290, 34
1291, 65
1292, 67
1293, 73
1294, 37
1295, 89
1296, 27
1297, 71
1298, 41
1299, 60
0013, 32
0130, 67
1300, 71
1301, 73
1302, 32
1303, 74
1304, 65
1305, 16
1306, 45
1307, 39
1308, 09
1309, 17
0131, 96
1310, 61
1311, 53
1312, 78
1313, 89
1314, 11
1315, 01
1316, 91
1317, 00
1318, 27
1319, 68
0132, 09
1320, 71
1321, 77
1322, 71
1323, 15
1324, 97
1325, 84
1326, 20
1327, 73
1328, 57
1329, 79
0133, 85
1330, 18
1331, 27
1332, 51
1333, 66
1334, 03
1335, 31
1336, 93
1337, 35
1338, 55
1339, 66
0134, 94
1340, 60
1341, 60
1342, 97
1343, 95
1344, 34
1345, 06
1346, 31
1347, 31
1348, 94
1349, 56
0135, 13
1350, 58
1351, 86
1352, 38
1353, 82
1354, 30
1355, 97
1356, 76
1357, 40
1358, 37
1359, 70
0136, 04
1360, 47
1361, 38
1362, 27
1363, 31
1364, 84
1365, 03
1366, 19
1367, 77
1368, 91
1369, 99
0137, 57
1370, 83
1371, 61
1372, 67
1373, 17
1374, 24
1375, 32
1376, 96
1377, 97
1378, 97
1379, 35
0138, 01
1380, 97
1381, 99
1382, 04
1383, 86
1384, 30
1385, 85
1386, 60
1387, 69
1388, 09
1389, 97
0139, 97
1390, 60
1391, 38
1392, 34
1393, 93
1394, 07
1395, 96
1396, 75
1397, 86
1398, 64
1399, 27
0014, 47
0140, 67
1400, 55
1401, 98
1402, 19
1403, 06
1404, 35
1405, 97
1406, 40
1407, 97
1408, 10
1409, 63
0141, 09
1410, 23
1411, 97
1412, 11
1413, 09
1414, 98
1415, 34
1416, 79
1417, 69
1418, 69
1419, 86
0142, 57
1420, 87
1421, 91
1422, 35
1423, 47
1424, 60
1425, 25
1426, 18
1427, 10
1428, 27
1429, 18
0143, 19
1430, 33
1431, 74
1432, 85
