number, label
0001, 70
0010, 35
0100, 06
1000, 30
1001, 06
1002, 73
1003, 50
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 62
0101, 79
1010, 25
1011, 71
1012, 85
1013, 27
1014, 23
1015, 61
1016, 11
1017, 60
1018, 71
1019, 33
0102, 74
1020, 26
1021, 38
1022, 91
1023, 18
1024, 19
1025, 64
1026, 39
1027, 60
1028, 05
1029, 33
0103, 30
1030, 96
1031, 60
1032, 41
1033, 96
1034, 96
1035, 03
1036, 88
1037, 99
1038, 08
1039, 63
0104, 06
1040, 74
1041, 36
1042, 06
1043, 35
1044, 27
1045, 73
1046, 29
1047, 20
1048, 41
1049, 66
0105, 04
1050, 33
1051, 27
1052, 91
1053, 58
1054, 35
1055, 05
1056, 41
1057, 76
1058, 96
1059, 82
0106, 39
1060, 08
1061, 41
1062, 55
1063, 82
1064, 46
1065, 90
1066, 81
1067, 84
1068, 68
1069, 55
0107, 61
1070, 06
1071, 36
1072, 63
1073, 47
1074, 71
1075, 49
1076, 32
1077, 08
1078, 90
1079, 71
0108, 69
1080, 56
1081, 38
1082, 90
1083, 18
1084, 94
1085, 05
1086, 37
1087, 97
1088, 07
1089, 72
0109, 19
1090, 85
1091, 55
1092, 50
1093, 11
1094, 41
1095, 79
1096, 12
1097, 70
1098, 71
1099, 07
0011, 72
0110, 83
1100, 54
1101, 50
1102, 04
1103, 97
1104, 08
1105, 74
1106, 04
1107, 40
1108, 49
1109, 92
0111, 13
1110, 77
1111, 94
1112, 74
1113, 61
1114, 60
1115, 16
1116, 38
1117, 04
1118, 22
1119, 94
0112, 90
1120, 93
1121, 72
1122, 69
1123, 73
1124, 26
1125, 96
1126, 55
1127, 83
1128, 64
1129, 89
0113, 39
1130, 96
1131, 92
1132, 46
1133, 29
1134, 31
1135, 56
1136, 76
1137, 81
1138, 62
1139, 67
0114, 64
1140, 87
1141, 13
1142, 88
1143, 41
1144, 09
1145, 85
1146, 15
1147, 71
1148, 10
1149, 16
0115, 60
1150, 41
1151, 56
1152, 59
1153, 42
1154, 78
1155, 60
1156, 86
1157, 40
1158, 17
1159, 38
0116, 71
1160, 08
1161, 25
1162, 97
1163, 97
1164, 27
1165, 90
1166, 41
1167, 52
1168, 50
1169, 87
0117, 56
1170, 04
1171, 66
1172, 74
1173, 55
1174, 96
1175, 21
1176, 26
1177, 07
1178, 08
1179, 06
0118, 52
1180, 53
1181, 38
1182, 24
1183, 10
1184, 70
1185, 06
1186, 33
1187, 10
1188, 05
1189, 05
0119, 16
1190, 62
1191, 96
1192, 86
1193, 28
1194, 29
1195, 25
1196, 74
1197, 47
1198, 03
1199, 14
0012, 64
0120, 27
1200, 68
1201, 36
1202, 18
1203, 55
1204, 24
1205, 33
1206, 26
1207, 40
1208, 82
1209, 37
0121, 10
1210, 43
1211, 53
1212, 20
1213, 79
1214, 04
1215, 66
1216, 23
1217, 79
1218, 43
1219, 02
0122, 11
1220, 18
1221, 71
1222, 21
1223, 44
1224, 18
1225, 12
1226, 12
1227, 23
1228, 72
1229, 60
0123, 68
1230, 10
1231, 51
1232, 77
1233, 28
1234, 21
1235, 76
1236, 33
1237, 67
1238, 97
1239, 23
0124, 74
1240, 76
1241, 90
1242, 35
1243, 08
1244, 20
1245, 50
1246, 52
1247, 88
1248, 34
1249, 43
0125, 19
1250, 49
1251, 33
1252, 96
1253, 71
1254, 12
1255, 35
1256, 99
1257, 38
1258, 32
1259, 19
0126, 61
1260, 27
1261, 02
1262, 12
1263, 58
1264, 66
1265, 29
1266, 58
1267, 48
1268, 15
1269, 52
0127, 94
1270, 94
1271, 77
1272, 24
1273, 49
1274, 27
1275, 19
1276, 75
1277, 76
1278, 23
1279, 95
0128, 17
1280, 26
1281, 82
1282, 66
1283, 50
1284, 50
1285, 95
1286, 90
1287, 37
1288, 66
1289, 59
0129, 88
1290, 34
1291, 23
1292, 67
1293, 73
1294, 37
1295, 85
1296, 55
1297, 90
1298, 41
1299, 60
0013, 30
0130, 93
1300, 71
1301, 73
1302, 32
1303, 50
1304, 65
1305, 16
1306, 91
1307, 39
1308, 09
1309, 17
0131, 96
1310, 22
1311, 53
1312, 73
1313, 89
1314, 98
1315, 01
1316, 99
1317, 00
1318, 85
1319, 68
0132, 09
1320, 71
1321, 61
1322, 71
1323, 15
1324, 97
1325, 20
1326, 20
1327, 91
1328, 57
1329, 79
0133, 85
1330, 20
1331, 27
1332, 51
1333, 66
1334, 63
1335, 31
1336, 93
1337, 02
1338, 30
1339, 66
0134, 94
1340, 90
1341, 60
1342, 97
1343, 72
1344, 34
1345, 06
1346, 31
1347, 31
1348, 86
1349, 56
0135, 13
1350, 58
1351, 86
1352, 50
1353, 33
1354, 30
1355, 74
1356, 76
1357, 40
1358, 60
1359, 32
0136, 04
1360, 52
1361, 38
1362, 27
1363, 11
1364, 05
1365, 03
1366, 23
1367, 77
1368, 91
1369, 99
0137, 57
1370, 62
1371, 61
1372, 55
1373, 17
1374, 24
1375, 23
1376, 96
1377, 80
1378, 50
1379, 35
0138, 01
1380, 80
1381, 99
1382, 55
1383, 67
1384, 45
1385, 90
1386, 60
1387, 69
1388, 09
1389, 97
0139, 38
1390, 60
1391, 38
1392, 49
1393, 72
1394, 24
1395, 92
1396, 75
1397, 86
1398, 50
1399, 27
0014, 47
0140, 67
1400, 38
1401, 98
1402, 19
1403, 06
1404, 35
1405, 97
1406, 40
1407, 39
1408, 88
1409, 67
0141, 09
1410, 71
1411, 79
1412, 35
1413, 09
1414, 21
1415, 34
1416, 55
1417, 69
1418, 69
1419, 86
0142, 98
1420, 87
1421, 27
1422, 35
1423, 37
1424, 60
1425, 84
1426, 33
1427, 10
1428, 38
1429, 18
0143, 19
1430, 33
1431, 63
1432, 25
1433, 30
1434, 42
1435, 72
1436, 04
1437, 24
1438, 47
1439, 87
0144, 91
1440, 27
1441, 71
1442, 72
1443, 18
1444, 54
1445, 80
1446, 04
1447, 28
1448, 79
1449, 78
0145, 38
1450, 25
1451, 52
1452, 70
1453, 48
1454, 22
1455, 19
1456, 96
1457, 06
1458, 00
1459, 94
0146, 27
1460, 60
1461, 63
1462, 04
1463, 04
1464, 74
1465, 31
1466, 07
1467, 04
1468, 04
1469, 46
0147, 46
1470, 84
1471, 15
1472, 39
1473, 66
1474, 92
1475, 60
1476, 29
1477, 05
1478, 41
1479, 27
0148, 07
1480, 96
1481, 23
1482, 39
1483, 35
1484, 25
1485, 40
1486, 61
1487, 84
1488, 08
1489, 17
0149, 66
1490, 26
1491, 63
1492, 79
1493, 15
1494, 65
1495, 35
1496, 65
1497, 91
1498, 84
1499, 24
0015, 96
0150, 82
1500, 05
1501, 95
1502, 68
1503, 26
1504, 32
1505, 07
1506, 96
1507, 88
1508, 70
1509, 55
0151, 83
1510, 16
1511, 04
1512, 36
1513, 26
1514, 95
1515, 86
1516, 53
1517, 30
1518, 14
1519, 55
0152, 97
1520, 12
1521, 74
1522, 92
1523, 79
1524, 71
1525, 43
1526, 23
1527, 55
1528, 54
1529, 33
0153, 66
1530, 45
1531, 69
1532, 64
1533, 78
1534, 85
1535, 61
1536, 31
1537, 95
1538, 63
1539, 29
0154, 03
1540, 19
1541, 74
1542, 18
1543, 03
1544, 10
1545, 63
1546, 23
1547, 87
1548, 30
1549, 79
0155, 08
1550, 88
1551, 25
1552, 84
1553, 80
1554, 21
1555, 62
1556, 12
1557, 87
1558, 47
1559, 99
0156, 49
1560, 90
1561, 18
1562, 60
1563, 50
1564, 66
1565, 77
1566, 62
1567, 42
1568, 42
1569, 87
0157, 27
1570, 88
1571, 63
1572, 09
1573, 28
1574, 48
1575, 41
1576, 39
1577, 14
1578, 70
1579, 38
0158, 55
1580, 50
1581, 07
1582, 50
1583, 16
1584, 91
1585, 87
1586, 18
1587, 11
1588, 86
1589, 31
0159, 74
1590, 01
1591, 38
1592, 85
1593, 04
1594, 18
1595, 90
1596, 01
1597, 41
1598, 13
1599, 04
0016, 47
0160, 47
1600, 70
1601, 96
1602, 70
1603, 40
1604, 76
1605, 72
1606, 67
1607, 79
1608, 61
1609, 71
0161, 28
1610, 69
1611, 29
1612, 03
1613, 38
1614, 42
1615, 67
1616, 55
1617, 17
1618, 45
1619, 12
0162, 63
1620, 69
1621, 31
1622, 32
1623, 18
1624, 51
1625, 50
1626, 78
1627, 96
1628, 83
1629, 39
0163, 74
1630, 78
1631, 50
1632, 70
1633, 79
1634, 45
1635, 54
1636, 43
1637, 72
1638, 79
1639, 08
0164, 34
1640, 28
1641, 94
1642, 95
1643, 85
1644, 60
1645, 93
1646, 05
1647, 22
1648, 65
1649, 12
0165, 58
1650, 59
1651, 67
1652, 89
1653, 01
1654, 67
1655, 37
1656, 76
1657, 47
1658, 14
1659, 73
0166, 08
1660, 41
1661, 33
1662, 76
1663, 30
1664, 18
1665, 21
1666, 81
1667, 05
1668, 05
1669, 85
0167, 73
1670, 97
1671, 37
1672, 20
1673, 71
1674, 70
1675, 15
1676, 74
1677, 67
1678, 36
1679, 45
0168, 12
1680, 38
1681, 38
1682, 18
1683, 18
1684, 91
1685, 29
1686, 74
1687, 67
1688, 46
1689, 77
0169, 25
1690, 06
1691, 46
1692, 57
1693, 81
1694, 88
1695, 91
1696, 73
1697, 33
1698, 20
1699, 71
0017, 73
0170, 74
1700, 75
1701, 91
1702, 39
1703, 30
1704, 31
1705, 34
1706, 60
1707, 79
1708, 90
1709, 45
0171, 48
1710, 40
1711, 63
1712, 32
1713, 63
1714, 09
1715, 72
1716, 72
1717, 09
1718, 22
1719, 01
0172, 46
1720, 60
1721, 19
1722, 66
1723, 88
1724, 79
1725, 72
1726, 49
1727, 87
1728, 57
1729, 24
0173, 75
1730, 38
1731, 59
1732, 97
1733, 08
1734, 15
1735, 96
1736, 41
1737, 76
1738, 33
1739, 76
0174, 88
1740, 04
1741, 54
1742, 80
1743, 47
1744, 41
1745, 23
1746, 71
1747, 28
1748, 77
1749, 96
0175, 21
1750, 10
1751, 97
1752, 61
1753, 56
1754, 63
1755, 36
1756, 28
1757, 35
1758, 32
1759, 12
0176, 39
1760, 26
1761, 18
1762, 85
1763, 66
1764, 59
1765, 01
1766, 59
1767, 69
1768, 09
1769, 43
0177, 29
1770, 04
1771, 07
1772, 47
1773, 87
1774, 61
1775, 35
1776, 87
1777, 80
1778, 70
1779, 74
0178, 67
1780, 04
1781, 70
1782, 76
1783, 16
1784, 04
1785, 02
1786, 55
1787, 14
1788, 21
1789, 14
0179, 32
1790, 12
1791, 19
1792, 69
1793, 30
1794, 43
1795, 28
1796, 75
1797, 94
1798, 42
1799, 72
0018, 91
0180, 27
1800, 27
1801, 79
1802, 30
1803, 81
1804, 42
1805, 62
1806, 18
1807, 27
1808, 35
1809, 99
0181, 85
1810, 04
1811, 71
1812, 85
1813, 72
1814, 59
1815, 10
1816, 30
1817, 64
1818, 67
1819, 32
0182, 93
1820, 32
1821, 64
1822, 80
1823, 21
1824, 17
1825, 35
1826, 45
1827, 41
1828, 50
1829, 71
0183, 40
1830, 00
1831, 18
1832, 40
1833, 68
1834, 06
1835, 33
1836, 26
1837, 74
1838, 28
1839, 68
0184, 33
1840, 79
1841, 91
1842, 54
1843, 94
1844, 72
1845, 96
1846, 28
1847, 27
1848, 83
1849, 04
0185, 22
1850, 50
1851, 30
1852, 79
1853, 55
1854, 76
1855, 30
1856, 38
1857, 10
1858, 53
1859, 52
0186, 20
1860, 38
1861, 76
1862, 99
1863, 15
1864, 65
1865, 30
1866, 72
1867, 40
1868, 39
1869, 00
0187, 86
1870, 70
1871, 43
1872, 26
1873, 20
1874, 95
1875, 82
1876, 51
1877, 73
1878, 61
1879, 35
0188, 26
1880, 29
1881, 56
1882, 71
1883, 90
1884, 79
1885, 96
1886, 79
1887, 97
1888, 33
1889, 67
0189, 18
1890, 63
1891, 18
1892, 18
1893, 86
1894, 60
1895, 46
1896, 60
1897, 93
1898, 19
1899, 39
0019, 26
0190, 99
1900, 63
1901, 19
1902, 82
1903, 24
1904, 20
1905, 44
1906, 55
1907, 25
1908, 14
1909, 81
0191, 11
1910, 27
1911, 11
1912, 47
1913, 17
1914, 68
1915, 56
1916, 89
1917, 54
1918, 80
1919, 46
0192, 67
1920, 90
1921, 52
1922, 79
1923, 33
1924, 61
1925, 91
1926, 22
1927, 15
1928, 49
1929, 74
0193, 82
1930, 72
1931, 05
1932, 81
1933, 14
1934, 71
1935, 85
1936, 58
1937, 16
1938, 70
1939, 53
0194, 23
1940, 81
1941, 05
1942, 97
1943, 71
1944, 99
1945, 26
1946, 46
1947, 91
1948, 46
1949, 33
0195, 34
1950, 04
1951, 70
1952, 57
1953, 00
1954, 04
1955, 42
